id,use_case,recommended,avoid,notes,python_code,javascript_code
C001,Password Hashing,bcrypt / argon2id,"MD5, SHA1, SHA256 (without salt), plain text","Use work factor ≥12 for bcrypt; argon2id is preferred for new systems","import bcrypt\nhashed = bcrypt.hashpw(password.encode(), bcrypt.gensalt(rounds=12))\nbcrypt.checkpw(password.encode(), hashed)","const bcrypt = require('bcrypt');\nconst hash = await bcrypt.hash(password, 12);\nawait bcrypt.compare(password, hash);"
C002,Symmetric Encryption,AES-256-GCM,"DES, 3DES, RC4, AES-ECB","AES-GCM provides authenticated encryption; always use random IV; never reuse IV","from cryptography.hazmat.primitives.ciphers.aead import AESGCM\nkey = AESGCM.generate_key(256)\naes = AESGCM(key)\nnonce = os.urandom(12)\nct = aes.encrypt(nonce, data, None)","const {createCipheriv, randomBytes} = require('crypto');\nconst key = randomBytes(32);\nconst iv = randomBytes(12);\nconst cipher = createCipheriv('aes-256-gcm', key, iv);"
C003,Asymmetric Encryption / Signing,RSA-2048+ / Ed25519 / ECDSA P-256,"RSA-1024, DSA","Use Ed25519 for new systems; RSA-2048 minimum for compatibility","from cryptography.hazmat.primitives.asymmetric.ed25519 import Ed25519PrivateKey\nkey = Ed25519PrivateKey.generate()\nsignature = key.sign(message)","const {generateKeyPairSync, sign, verify} = require('crypto');\nconst {privateKey, publicKey} = generateKeyPairSync('ed25519');"
C004,Secure Random Token Generation,secrets.token_urlsafe / crypto.randomBytes,"random.random(), Math.random(), timestamp-based","Use OS CSPRNG; minimum 128-bit (16 bytes) for tokens","import secrets\ntoken = secrets.token_urlsafe(32)  # 256-bit","const {randomBytes} = require('crypto');\nconst token = randomBytes(32).toString('hex');"
C005,Data Hashing (non-password),SHA-256 / SHA-3 / BLAKE2,"MD5, SHA1","For checksums and data integrity only; not for passwords","import hashlib\nhash = hashlib.sha256(data).hexdigest()","const {createHash} = require('crypto');\nconst hash = createHash('sha256').update(data).digest('hex');"
C006,TLS/HTTPS,TLS 1.2 / TLS 1.3,"SSL, TLS 1.0, TLS 1.1","Enforce TLS 1.2+; use HSTS; disable weak cipher suites","# In Python: use ssl.SSLContext with minimum TLS 1.2\nctx = ssl.SSLContext(ssl.PROTOCOL_TLS_CLIENT)\nctx.minimum_version = ssl.TLSVersion.TLSv1_2","// In Node.js: set secureProtocol\nconst tls = require('tls');\n// Use NODE_OPTIONS=--tls-min-v1.2"
C007,Key Derivation,PBKDF2 (500k+ iterations) / scrypt / argon2,"Short iteration count, no salt","For deriving keys from passwords (not for password storage — use bcrypt/argon2)","import hashlib\ndk = hashlib.pbkdf2_hmac('sha256', password.encode(), salt, 600000)","const {pbkdf2Sync} = require('crypto');\nconst key = pbkdf2Sync(password, salt, 600000, 32, 'sha256');"
C008,HMAC Signature,HMAC-SHA256 / HMAC-SHA512,"Unsigned webhooks, home-grown MAC","Always verify webhook payloads; use constant-time comparison","import hmac, hashlib\nsig = hmac.new(secret.encode(), payload, hashlib.sha256).hexdigest()\nhmac.compare_digest(sig, expected)","const {createHmac, timingSafeEqual} = require('crypto');\nconst sig = createHmac('sha256', secret).update(payload).digest('hex');\ntimingSafeEqual(Buffer.from(sig), Buffer.from(expected));"
C009,Secrets Management,Vault / AWS Secrets Manager / GCP Secret Manager / env vars,"Hardcoded secrets, secrets in Git, secrets in container images","Rotate secrets regularly; use short-lived dynamic secrets where possible; never log secrets","import boto3\nclient = boto3.client('secretsmanager')\nsecret = client.get_secret_value(SecretId='db/prod')['SecretString']","// Use AWS SDK or env injected at runtime\nconst secret = process.env.DB_PASSWORD; // injected by orchestrator, never committed"
C010,Mutual TLS (service-to-service),mTLS with cert rotation / SPIFFE/SPIRE,"Plaintext internal traffic, shared API keys, no service identity","Use a service mesh (Istio/Linkerd) for automatic mTLS; rotate certs frequently","# Use service mesh or ssl context with client cert\nctx.load_cert_chain('client.crt', 'client.key')\nctx.verify_mode = ssl.CERT_REQUIRED","// Node https with client cert\nhttps.request({cert, key, ca, rejectUnauthorized: true})"
C011,Token / Session Storage (client),httpOnly Secure SameSite cookie,"localStorage, sessionStorage (XSS-readable), URL params","Never store auth tokens in localStorage — XSS can steal them; use httpOnly cookies","# Server sets httpOnly cookie\nresponse.set_cookie('token', t, httponly=True, secure=True, samesite='Strict')","res.cookie('token', t, {httpOnly: true, secure: true, sameSite: 'strict'})"
C012,Encryption at Rest,AES-256 via cloud KMS / envelope encryption,"App-managed static keys, no key rotation, ECB mode","Use cloud KMS for key management; envelope encryption for large data; enable DB-level encryption","# Use cloud KMS to encrypt data keys\nimport boto3\nkms = boto3.client('kms')\ndata_key = kms.generate_data_key(KeyId=key_id, KeySpec='AES_256')","// Use cloud KMS SDK; let KMS manage the master key\nconst {DataKey} = await kms.generateDataKey({KeyId, KeySpec: 'AES_256'})"
