id,rank,name,category,applies_to,prevention,trigger_keywords,source_version
CWE-79,1,Cross-site Scripting,Injection,web frontend,Use contextual output encoding safe DOM APIs and CSP,xss html javascript innerhtml render,MITRE CWE Top 25 2025
CWE-89,2,SQL Injection,Injection,all,Use parameterized queries and avoid dynamic SQL,sql query database execute,MITRE CWE Top 25 2025
CWE-352,3,Cross-Site Request Forgery,Access Control,web,Use anti-CSRF tokens and SameSite cookies for credentialed state changes,csrf form cookie state change,MITRE CWE Top 25 2025
CWE-862,4,Missing Authorization,Access Control,all,Deny by default and verify authorization for every protected operation,authorization permission role access,MITRE CWE Top 25 2025
CWE-787,5,Out-of-bounds Write,Memory Safety,native,Prefer memory-safe languages and enforce bounds checking with sanitizers,buffer bounds write memory c cpp,MITRE CWE Top 25 2025
CWE-22,6,Path Traversal,Access Control,all,Canonicalize paths and enforce an allowed base directory,path file directory traversal,MITRE CWE Top 25 2025
CWE-416,7,Use After Free,Memory Safety,native,Prefer memory-safe ownership models and use sanitizers and safe lifetime management,use after free pointer memory c cpp,MITRE CWE Top 25 2025
CWE-125,8,Out-of-bounds Read,Memory Safety,native,Validate indices and lengths and use memory-safe containers and sanitizers,buffer bounds read memory c cpp,MITRE CWE Top 25 2025
CWE-78,9,OS Command Injection,Injection,all,Avoid shells and pass validated arguments through structured process APIs,command shell exec subprocess system,MITRE CWE Top 25 2025
CWE-94,10,Code Injection,Injection,all,Never evaluate untrusted code and isolate required interpreters,eval code template expression execute,MITRE CWE Top 25 2025
CWE-120,11,Classic Buffer Overflow,Memory Safety,native,Use bounded operations memory-safe abstractions and compiler hardening,buffer overflow memcpy strcpy c cpp,MITRE CWE Top 25 2025
CWE-434,12,Unrestricted Upload of Dangerous File,File Handling,all,Validate content and size scan uploads and store outside executable paths,file upload mime archive executable,MITRE CWE Top 25 2025
CWE-476,13,NULL Pointer Dereference,Memory Safety,native,Use safe option types validate pointers and test exceptional paths,null pointer dereference memory,MITRE CWE Top 25 2025
CWE-121,14,Stack-based Buffer Overflow,Memory Safety,native,Use memory-safe languages stack protections bounds checks and sanitizers,stack buffer overflow c cpp,MITRE CWE Top 25 2025
CWE-502,15,Deserialization of Untrusted Data,Integrity,all,Avoid native object deserialization and strictly validate simple data formats,deserialize pickle object yaml,MITRE CWE Top 25 2025
CWE-122,16,Heap-based Buffer Overflow,Memory Safety,native,Use memory-safe containers allocation checks and sanitizers,heap buffer overflow allocation c cpp,MITRE CWE Top 25 2025
CWE-863,17,Incorrect Authorization,Access Control,all,Centralize policy and test object function and field-level authorization,authorization access role owner,MITRE CWE Top 25 2025
CWE-20,18,Improper Input Validation,Validation,all,Validate type length format range and business constraints at trust boundaries,input validation schema type length,MITRE CWE Top 25 2025
CWE-284,19,Improper Access Control,Access Control,all,Model trust boundaries enforce least privilege and test negative cases,access control privilege permission,MITRE CWE Top 25 2025
CWE-200,20,Exposure of Sensitive Information,Data Protection,all,Classify minimize redact and authorize access to sensitive data,sensitive pii secret exposure privacy,MITRE CWE Top 25 2025
CWE-306,21,Missing Authentication for Critical Function,Authentication,all,Require strong authentication and reauthentication for critical operations,authentication login critical admin,MITRE CWE Top 25 2025
CWE-918,22,Server-Side Request Forgery,Access Control,all,Allowlist destinations and block internal metadata and private networks,ssrf url fetch webhook callback,MITRE CWE Top 25 2025
CWE-77,23,Command Injection,Injection,all,Avoid command interpreters and use structured APIs with strict allowlists,command injection interpreter shell,MITRE CWE Top 25 2025
CWE-639,24,Authorization Bypass Through User-Controlled Key,Access Control,all,Scope every object lookup to the authorized principal,idor bola user id object key,MITRE CWE Top 25 2025
CWE-770,25,Allocation of Resources Without Limits,Availability,all,Set request payload concurrency memory time and cost limits,resource limit throttle rate memory timeout,MITRE CWE Top 25 2025
