id,phase,control,verification,evidence,automation,trigger_keywords,reference,review_date
A001,Design,Document trust boundaries assets abuse cases and security assumptions,Review a current threat model for each high-risk workflow,Threat model with owners and mitigations,Manual with diagram checks,threat model architecture design abuse,OWASP ASVS 5.0.0 V15,2026-06-09
A002,Requirements,Select an ASVS verification target and trace applicable requirements,Confirm each applicable requirement has an owner and verification status,ASVS requirements matrix,Automated completeness check plus review,asvs requirement verification acceptance,OWASP ASVS 5.0.0,2026-06-09
A003,Implementation,Enforce peer review for security-sensitive code,Confirm protected branches and required reviewers cover sensitive modules,Repository branch protection and review records,Repository policy,code review pull request branch,OWASP ASVS 5.0.0 V15,2026-06-09
A004,Implementation,Run SAST with blocking rules for high-confidence critical findings,Verify scans run on pull requests and unresolved critical findings block merge,SAST reports and merge checks,SAST,static analysis sast code scan,OWASP ASVS 5.0.0 V15,2026-06-09
A005,Implementation,Run secret scanning before and after commit,Verify active secrets are revoked and history is remediated,Secret scanning reports and incident records,Secret scanner,secret scanning credential git token,OWASP ASVS 5.0.0 V13,2026-06-09
A006,Build,Generate an SBOM and scan direct and transitive dependencies,Verify each release has an SBOM and no unaccepted exploitable critical dependency,SBOM SCA report and risk exceptions,SCA and SBOM tools,sbom sca dependency package supply chain,OWASP ASVS 5.0.0 V13,2026-06-09
A007,Build,Protect build provenance and release artifact integrity,Verify signed provenance and artifact signatures before deployment,Signatures attestations and provenance records,SLSA-compatible tooling,provenance artifact signing build release,OWASP ASVS 5.0.0 V13,2026-06-09
A008,Test,Run negative authorization and authentication tests,Verify tests attempt cross-user cross-role unauthenticated and expired-session access,Automated integration test results,Integration tests,authorization authentication negative test idor,OWASP ASVS 5.0.0 V6 V7 V8,2026-06-09
A009,Test,Run DAST against an authorized test environment,Verify authenticated and unauthenticated coverage and triage findings,DAST report with disposition,DAST,dast dynamic scan staging web api,OWASP ASVS 5.0.0,2026-06-09
A010,Test,Fuzz parsers protocols and native trust boundaries,Verify crash memory-safety and exceptional-condition findings are triaged,Fuzzing corpus crash reports and sanitizer output,Fuzzers and sanitizers,fuzz parser protocol memory sanitizer,MITRE CWE Top 25 2025,2026-06-09
A011,Deploy,Scan infrastructure as code containers and cloud configuration,Verify critical misconfigurations block deployment and exceptions expire,IaC and container scan reports,IaC and image scanners,terraform kubernetes container cloud iac,OWASP ASVS 5.0.0 V13,2026-06-09
A012,Operate,Centralize security logs and alert on actionable events,Verify alerts have owners runbooks thresholds and tested delivery,Alert tests dashboards and runbooks,SIEM and alert tests,logging alert monitoring siem,OWASP ASVS 5.0.0 V16,2026-06-09
A013,Operate,Maintain tested incident response and credential revocation procedures,Run exercises covering compromised credentials data exposure and service abuse,Exercise report contacts and runbooks,Manual exercises,incident response revoke breach compromise,OWASP ASVS 5.0.0 V16,2026-06-09
A014,Data Lifecycle,Classify minimize retain and securely delete sensitive data,Verify collection retention backup and deletion match approved policy,Data inventory retention and deletion test,Policy checks and deletion tests,privacy pii retention deletion data,OWASP ASVS 5.0.0 V14,2026-06-09
A015,Governance,Time-box security exceptions and verify remediation,Confirm every exception has risk acceptance owner expiry and compensating controls,Risk register and expired-exception report,Automated expiry checks,exception risk acceptance waiver remediation,OWASP ASVS 5.0.0,2026-06-09
