id,name,category,severity,owasp_ref,description,trigger_keywords,fix_pattern,languages
V001,SQL Injection,Injection,CRITICAL,A05:2025,Unsanitized user input concatenated into SQL queries,sql query select insert update delete execute,Use parameterized queries / prepared statements,"python,javascript,typescript,php,java,go,ruby,csharp"
V002,Command Injection,Injection,CRITICAL,A05:2025,User input passed to OS shell commands,exec shell spawn system popen subprocess os.system,Validate input strictly; use subprocess with list args not shell=True,"python,javascript,nodejs,php,ruby"
V003,XSS (Cross-Site Scripting),Injection,HIGH,A05:2025,Untrusted data rendered in browser without escaping,innerHTML innerText dangerouslySetInnerHTML document.write render html,Escape output; use Content-Security-Policy; use safe DOM APIs,"javascript,typescript,react,vue,php"
V004,Hardcoded Secrets,Cryptographic Failures,CRITICAL,A04:2025,API keys / passwords / tokens written directly in source code,api_key secret password token private_key credential apikey,Use environment variables and secret managers; never commit secrets,"all"
V005,Broken Authentication,Auth Failures,CRITICAL,A07:2025,Weak or missing authentication mechanisms,login auth session jwt token cookie password,Use bcrypt/argon2 for passwords; implement MFA; secure session management,"all"
V006,Insecure Direct Object Reference (IDOR),Access Control,HIGH,A01:2025,Direct use of user-supplied IDs to access resources without authorization check,user_id account_id file_id record_id order_id,Validate ownership on every request; use indirect reference maps,"all"
V007,Path Traversal,Access Control,HIGH,A01:2025,User input used to construct file paths,open read write file path directory upload download,Sanitize path; use realpath; whitelist allowed directories,"python,javascript,php,java,go"
V008,Insecure Deserialization,Integrity Failures,HIGH,A08:2025,Untrusted data deserialized without validation,pickle load deserialize unserialize yaml.load json.loads,Never deserialize untrusted data; use safe loaders (yaml.safe_load),"python,java,php,ruby"
V009,Missing Rate Limiting,Insecure Design,MEDIUM,A06:2025,No throttle on sensitive endpoints allowing brute force,login register password reset api endpoint,"Implement layered rate limits, abuse detection, and step-up challenges where appropriate","all"
V010,Sensitive Data in Logs,Logging,HIGH,A09:2025,Passwords / tokens / PII written to logs,log print console.log logger debug info error,Mask/redact sensitive fields before logging; use structured logging,"all"
V011,JWT Vulnerabilities,Auth Failures,HIGH,A07:2025,"Weak JWT implementation (none algorithm, weak secret, no expiry)",jwt token verify sign decode,"Pin allowed algorithms; validate signature, issuer, audience, and expiry; rotate keys","javascript,python,java,go"
V012,CSRF (Cross-Site Request Forgery),Access Control,HIGH,A01:2025,State-changing requests not protected by CSRF tokens,form post delete update submit,Use CSRF tokens (SameSite cookies + CSRF middleware),"all"
V013,Mass Assignment,Access Control,HIGH,A01:2025,Binding user-supplied data directly to model without whitelist,params update create assign attributes request.body,Use allowlist (permit/whitelist) for mass assignment; never bind all params,"ruby,python,javascript,php"
V014,Weak Cryptography,Cryptographic Failures,HIGH,A04:2025,Using MD5/SHA1/DES/RC4 for sensitive data,md5 sha1 des rc4 base64 encode hash encrypt,Use AES-256-GCM / bcrypt / argon2 / SHA-256+; never use MD5/SHA1 for passwords,"all"
V015,Open Redirect,Access Control,MEDIUM,A01:2025,Redirecting to user-supplied URLs without validation,redirect url return_url next callback,Whitelist allowed redirect URLs; validate against allowed domains,"all"
V016,Server-Side Request Forgery (SSRF),Access Control,CRITICAL,A01:2025,Server fetches URLs supplied by user,fetch request url http get post,"Allowlist destinations and schemes; resolve and validate every redirect/IP; block private, loopback, link-local, and metadata ranges","all"
V017,Prototype Pollution,Integrity Failures,HIGH,A08:2025,Merging user-supplied objects pollutes Object prototype,merge assign extend deepmerge lodash,Use Object.create(null); validate keys; use safe merge libraries,"javascript,typescript,nodejs"
V018,ReDoS (Regex DoS),Insecure Design,MEDIUM,A06:2025,Catastrophic backtracking in regular expressions vulnerable to crafted input,regex regexp match test exec,Audit regex for nested quantifiers; use timeout; use safe-regex linter,"all"
V019,Insecure File Upload,Injection,HIGH,A05:2025,File uploads without type/size/content validation,upload file multer formdata,Validate MIME type + extension + magic bytes; scan with AV; store outside webroot,"all"
